##BLOCKS= 1,,,,,,,,,,,,,,,,,,,,
Plate:,Plate1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,1,562,1,12,96,1,8
,Temperature(ÁC),1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,30.5,1.8381,1.8886,0.6007,0.578,0.8138,0.8062,0.0324,0.0319,0.0312,0.0317,0.0322,0.0316,,,,,,,
,,1.092,1.0612,0.8226,0.7843,0.949,0.9331,0.0315,0.0317,0.0319,0.0323,0.0316,0.032,,,,,,,
,,0.6861,0.6458,0.8058,0.7854,0.6718,0.6982,0.032,0.0312,0.0314,0.0319,0.0309,0.0319,,,,,,,
,,0.4255,0.4175,0.7409,0.7797,0.803,0.8689,0.0319,0.0316,0.0324,0.0321,0.0314,0.0321,,,,,,,
,,0.2806,0.2739,0.8939,0.8391,0.8842,0.7999,0.0322,0.0318,0.0319,0.0323,0.0317,0.0313,,,,,,,
,,0.0852,0.0826,0.9061,0.8107,0.9288,0.9134,0.0319,0.0322,0.0318,0.0322,0.0326,0.0318,,,,,,,
,,0.0849,0.0827,0.927,1.0284,0.0315,0.0317,0.0318,0.0312,0.0312,0.0319,0.0319,0.0316,,,,,,,
,,0.0837,0.0808,0.8707,0.9186,0.0306,0.0309,0.0317,0.0315,0.0319,0.0312,0.0321,0.0318,,,,,,,
,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,
Original Filename: bca20170611; Date Last Saved: 11/06/2017 13:37:09,,,,,,,,,,,,,,,,,,,,
